Injection_Temperature,Injection_Pressure,Cycle_Time,Cooling_Time,Material_Viscosity,Ambient_Temperature,Machine_Age,Operator_Experience,Maintenance_Hours,Parts_Per_Hour
201.32,129.96,22.148,13.583,123.25,27.71,8.21,23.7,44.51,69
186.84,141.16,40.533,16.413,117.41,19.46,5.56,3.0,145.94,30
227.9,88.88,31.717,16.844,245.56,18.41,4.96,39.4,76.7,32
210.81,140.66,21.205,15.947,387.34,18.33,14.0,18.8,186.24,39
188.54,121.55,33.705,14.565,228.04,22.65,13.77,66.3,42.91,36
214.66,88.9,25.732,18.58,206.94,18.83,8.18,108.0,28.25,32
182.41,109.93,40.332,13.387,399.39,23.12,4.62,82.9,168.48,22
243.65,91.26,28.599,8.733,259.59,21.28,2.43,17.2,143.38,67
198.11,129.02,36.793,18.135,212.57,21.36,3.19,14.8,164.28,25
226.38,133.12,17.866,16.088,215.76,24.36,8.31,109.5,31.59,87
201.82,87.41,26.881,18.191,158.49,19.63,5.31,59.0,176.96,39
216.4,115.43,44.497,9.663,253.67,25.67,1.59,110.9,135.52,41
218.27,137.02,39.254,8.369,231.66,23.82,7.37,88.6,130.31,53
192.94,145.53,19.798,19.212,181.24,27.15,11.45,119.2,116.52,49
247.87,115.95,23.333,9.773,148.16,21.65,13.48,104.7,152.98,98
234.26,146.52,24.894,17.716,193.37,27.83,9.19,50.3,83.12,56
245.76,117.5,34.511,17.879,252.6,23.76,11.13,91.2,26.56,37
242.64,107.59,37.71,16.504,117.5,27.73,6.1,57.1,107.85,44
221.85,139.37,37.486,9.575,146.12,18.27,7.95,28.7,149.62,58
244.53,114.51,30.296,16.009,384.3,25.28,11.21,29.7,30.73,31
186.19,113.03,39.325,18.669,262.86,26.17,11.19,48.3,44.8,20
193.72,114.32,28.112,13.106,119.03,18.53,6.94,14.3,139.31,51
183.17,139.27,18.716,12.962,307.93,23.79,8.61,22.2,53.93,61
202.77,138.24,31.933,13.314,118.54,26.02,13.93,60.6,33.99,50
207.21,108.25,43.569,8.987,321.66,23.61,9.85,114.5,177.88,36
198.99,103.33,38.79,18.704,324.99,18.64,10.0,69.7,32.18,19
238.01,114.43,32.361,18.43,295.32,24.93,11.98,49.6,68.83,29
204.97,120.09,34.404,19.975,319.66,18.61,2.61,29.9,85.69,30
199.67,96.68,42.917,15.022,126.39,26.17,8.32,24.3,95.23,24
217.99,135.58,27.85,17.014,318.03,18.43,14.43,79.4,72.26,37
189.86,114.05,24.942,10.432,141.01,19.37,6.06,102.0,182.51,59
236.15,103.38,44.317,16.01,201.85,20.75,5.13,48.5,131.73,38
185.22,87.48,40.903,15.797,382.82,24.33,9.42,66.5,71.9,22
249.08,96.72,24.691,18.815,250.86,27.76,4.1,85.1,71.54,48
234.06,146.45,28.913,17.97,390.23,19.18,8.78,7.9,100.59,37
193.91,101.36,27.452,19.262,126.68,19.43,3.18,42.8,6.73,29
180.39,91.82,19.473,18.426,243.27,21.69,9.12,87.8,185.33,41
237.08,112.25,43.735,18.424,118.72,26.36,9.43,82.5,44.66,32
229.48,101.5,27.129,8.765,289.06,22.67,6.86,7.3,139.52,67
231.03,82.46,41.26,18.152,123.61,21.22,6.36,29.3,155.54,21
233.99,102.62,20.681,15.29,152.61,23.61,4.44,81.9,165.48,68
185.18,118.09,31.436,12.565,177.65,20.61,5.63,33.3,33.13,43
205.09,118.62,15.719,8.678,324.62,22.01,7.98,97.9,107.34,96
188.11,104.96,37.927,16.132,149.19,21.33,4.47,4.5,16.73,28
240.42,111.31,32.427,11.938,353.99,26.04,11.96,23.7,160.96,38
223.63,147.59,33.768,13.613,139.57,27.24,10.93,34.5,97.29,53
203.16,106.41,16.552,16.181,110.57,25.6,4.77,111.1,31.7,79
184.45,98.08,21.331,18.941,218.51,22.39,2.36,95.8,143.74,40
201.77,97.04,17.23,17.905,393.83,23.04,1.0,106.2,66.23,42
202.76,112.04,23.667,13.407,133.1,19.25,9.35,53.4,22.9,62
231.07,133.17,33.823,12.653,130.52,25.47,3.96,98.9,92.21,67
224.63,94.42,31.986,10.877,325.35,23.96,1.18,102.6,47.05,36
242.1,129.65,33.364,12.469,193.65,27.02,6.03,48.6,190.04,53
213.06,81.48,31.478,9.333,315.18,20.01,14.47,119.3,72.27,47
188.37,109.33,23.191,19.653,160.0,25.6,10.66,102.3,114.49,31
229.93,134.31,22.335,14.887,238.02,24.85,13.01,116.9,189.67,66
233.25,103.71,19.112,9.534,179.59,20.66,3.03,104.1,78.74,119
219.29,119.46,40.472,12.234,235.46,24.67,2.03,93.4,71.63,37
233.97,94.35,33.494,14.564,330.73,27.24,1.16,113.3,32.48,35
214.57,131.94,20.595,14.395,328.6,27.18,14.38,51.0,187.66,48
216.59,83.66,20.316,8.426,254.73,25.2,5.2,94.2,160.15,73
209.93,139.68,41.191,19.41,378.51,18.48,7.43,26.3,44.2,24
181.78,93.87,37.282,11.305,179.14,26.72,6.52,88.2,66.53,32
187.55,141.21,34.782,8.194,172.09,24.58,11.23,94.5,182.98,52
182.2,104.68,27.206,8.917,284.14,21.1,5.34,86.3,107.46,50
224.55,130.59,22.859,14.962,286.39,19.87,8.5,102.1,111.27,57
202.0,102.35,44.384,9.653,113.96,19.16,14.94,50.2,129.63,34
215.6,143.41,38.917,8.501,282.33,18.5,7.22,65.8,152.43,39
243.53,88.86,24.053,12.556,212.33,25.54,8.72,2.3,187.86,64
197.45,92.5,40.427,15.473,324.23,20.36,8.04,18.4,160.45,26
208.73,114.51,37.768,9.342,342.43,18.24,12.24,77.7,186.91,34
232.89,85.74,23.912,11.76,265.65,21.97,4.74,67.9,164.12,56
196.02,93.72,27.797,13.013,100.51,22.83,3.39,24.5,9.29,53
185.39,146.06,20.579,9.914,290.91,19.69,11.56,30.0,23.51,64
200.28,148.35,18.332,14.073,324.66,18.44,6.82,41.9,176.98,71
191.29,106.34,36.683,9.023,174.69,19.89,13.79,86.3,5.54,40
245.08,144.63,23.025,8.558,239.39,24.79,10.02,73.6,158.83,105
236.57,118.14,39.602,14.238,389.72,18.82,8.9,9.3,169.97,21
224.34,98.88,44.868,10.975,189.43,23.55,1.99,91.4,83.09,42
241.0,129.17,17.299,9.144,166.95,19.46,11.23,32.3,70.97,129
236.26,126.12,29.191,13.087,163.26,19.96,10.6,80.9,38.88,67
193.06,149.24,39.062,18.982,267.64,21.93,9.96,15.7,9.78,22
242.48,98.55,38.669,16.69,384.94,19.01,4.75,119.8,149.08,27
217.75,127.04,37.8,17.787,282.61,19.73,14.25,10.6,14.75,29
236.52,83.64,25.47,18.463,191.0,21.49,5.5,89.3,188.93,47
242.73,87.96,28.616,19.672,291.57,21.3,3.13,65.4,59.35,30
202.26,80.27,32.849,17.159,287.45,25.49,14.82,11.2,158.85,27
187.7,149.96,44.218,15.301,279.08,18.75,11.45,4.2,11.94,28
195.96,136.16,24.826,12.385,147.83,26.6,6.81,44.2,107.26,62
209.9,135.07,42.694,10.18,290.37,26.16,14.1,96.5,69.82,29
237.26,115.68,23.081,16.24,229.05,25.66,2.28,5.9,6.0,75
240.25,101.0,44.672,19.939,105.58,21.09,2.23,84.8,131.16,23
180.49,90.59,35.108,13.608,261.93,26.23,10.55,79.0,188.63,34
215.75,99.93,28.905,16.684,396.78,19.83,3.49,32.6,2.15,31
209.22,106.32,33.402,13.941,204.92,19.24,13.84,10.2,54.09,37
195.55,132.94,23.176,13.183,389.67,18.45,12.77,109.9,140.72,44
188.39,117.78,23.225,12.924,128.86,27.39,5.29,36.7,174.25,53
203.63,85.42,18.407,14.055,319.74,21.08,13.44,14.3,38.16,59
246.0,81.26,18.422,12.403,134.3,27.18,1.6,82.1,14.14,105
202.62,87.16,25.43,16.985,182.07,20.73,8.68,26.8,1.73,37
216.32,108.73,37.886,18.491,271.25,27.08,14.1,57.6,43.04,22
229.21,145.32,33.239,18.595,277.83,27.04,12.98,7.0,14.26,33
205.45,124.62,18.078,10.732,332.56,27.24,5.99,119.2,71.88,73
248.02,136.13,40.567,18.751,284.59,22.96,3.56,54.3,88.03,36
247.37,112.65,33.041,12.099,278.08,26.66,3.95,119.9,95.98,64
197.62,105.32,43.826,11.712,373.71,27.51,8.2,46.9,28.47,27
214.81,87.59,35.106,16.721,235.65,21.25,9.35,42.4,92.8,29
201.06,141.32,20.255,11.656,167.58,22.19,1.46,109.8,1.81,92
199.94,134.82,29.214,8.636,148.54,25.19,6.79,40.2,47.88,54
182.58,91.77,34.455,12.483,220.0,21.0,12.63,52.4,73.82,34
222.67,115.86,15.848,16.658,313.83,25.54,7.22,10.3,23.67,61
215.19,114.12,15.447,11.924,112.76,18.74,3.37,114.7,162.8,108
183.6,123.76,18.882,15.555,138.72,23.23,14.37,11.1,40.24,60
199.51,146.23,22.55,15.921,131.83,19.22,4.73,92.8,150.98,64
243.58,120.58,27.886,16.805,275.58,20.93,12.18,65.1,94.78,42
196.77,117.82,29.623,18.766,172.86,20.59,3.71,8.3,95.95,27
190.14,83.52,19.141,13.191,149.88,26.39,6.92,1.2,129.04,66
214.26,84.4,35.202,9.997,277.83,19.94,7.87,112.3,8.86,45
249.0,93.11,32.884,11.827,328.39,26.08,8.01,89.3,15.75,41
196.94,82.27,23.834,13.186,199.65,25.94,8.23,82.7,65.37,57
227.05,132.03,15.41,16.567,273.46,22.99,4.15,53.2,83.36,88
233.31,130.63,17.329,8.157,129.44,20.34,8.22,29.4,85.99,157
196.63,89.52,26.751,11.789,380.56,20.27,7.74,81.9,135.38,45
230.98,138.53,19.619,17.358,201.07,22.65,3.92,73.4,0.14,79
205.74,90.84,26.305,16.05,399.25,18.09,14.83,87.4,191.82,31
224.26,101.08,33.845,16.781,393.58,23.31,13.12,44.5,34.9,24
224.35,97.43,31.417,17.742,333.65,27.53,13.43,118.4,49.73,25
217.5,106.06,21.935,17.399,106.02,19.55,10.6,9.0,181.13,48
186.32,97.83,25.315,16.186,263.04,23.73,3.24,10.5,1.1,37
238.47,114.23,33.421,13.276,126.05,27.62,8.95,110.1,198.26,51
202.45,108.52,40.826,19.803,368.54,26.61,12.5,78.1,7.19,18
193.06,149.06,37.596,14.829,336.89,26.5,1.54,39.8,24.11,37
182.85,83.91,31.602,10.433,391.7,26.22,7.94,91.7,48.02,41
221.36,89.95,25.869,11.514,282.51,21.09,6.55,54.9,87.74,47
227.43,83.7,25.952,16.323,256.65,26.91,3.97,3.5,103.69,44
181.16,123.81,41.383,19.097,255.69,27.41,6.3,78.5,20.94,17
215.85,83.82,16.177,10.145,215.93,22.96,14.77,29.9,14.73,86
195.85,138.55,44.639,8.988,240.61,21.55,11.13,14.7,6.37,35
225.16,115.84,34.931,18.578,290.62,22.14,5.19,27.8,51.35,41
192.21,116.89,35.434,18.983,379.88,21.34,9.47,57.7,184.31,21
228.37,119.31,16.14,11.317,278.77,20.12,4.45,6.9,77.97,98
207.07,91.96,33.166,12.527,357.13,24.18,9.55,106.1,152.8,29
245.57,93.84,29.543,15.922,358.83,23.63,13.55,67.6,38.04,29
189.63,102.32,18.173,11.959,255.65,22.63,8.8,35.9,12.94,69
203.87,121.54,23.338,18.526,204.24,18.96,11.27,82.8,110.86,46
187.94,94.71,41.709,9.291,291.87,25.97,7.35,96.7,164.42,30
244.73,88.14,31.5,8.456,233.76,19.75,8.34,74.1,179.69,55
241.41,147.91,27.402,10.502,124.43,19.15,10.73,25.1,109.24,85
198.06,81.54,17.18,11.433,213.34,24.23,12.37,14.1,58.81,74
226.2,136.19,36.424,9.355,398.22,21.99,10.23,103.3,21.9,48
237.21,135.16,36.086,8.788,114.55,18.6,14.68,28.9,133.56,59
218.86,100.8,33.421,17.067,309.0,21.56,12.48,3.4,56.09,30
217.08,89.49,30.308,9.971,352.36,25.72,11.88,77.5,168.79,41
196.93,90.19,28.014,18.967,294.62,24.15,12.83,19.2,121.02,31
186.52,128.82,32.798,12.416,270.92,21.63,4.94,118.9,171.78,44
242.81,125.0,22.002,16.047,312.27,19.92,7.05,104.5,113.33,54
243.03,134.79,43.238,10.705,228.8,24.32,8.9,73.4,154.35,54
224.32,145.62,32.664,10.884,127.41,26.88,7.47,100.2,58.86,80
203.73,128.43,24.336,14.897,388.71,24.46,12.86,57.0,100.61,38
204.44,90.91,28.49,14.728,229.69,26.13,1.38,94.8,3.88,42
230.82,97.04,39.171,17.225,299.62,23.22,3.93,77.9,121.57,27
242.8,138.95,19.848,17.094,259.39,25.18,13.34,4.4,106.75,68
242.1,94.65,23.785,16.048,116.4,26.96,1.83,113.9,151.06,71
234.59,85.08,35.385,13.39,385.82,25.73,4.18,103.4,145.79,34
224.94,129.23,24.465,18.688,337.76,27.1,5.92,114.5,125.52,37
185.89,108.18,38.775,15.471,144.73,22.31,11.51,88.0,11.34,28
191.31,144.4,18.914,19.882,394.49,27.04,8.84,50.0,180.6,30
242.9,125.52,37.881,17.832,321.07,24.22,14.36,25.6,3.6,33
222.45,86.33,17.051,8.532,241.7,26.7,4.19,22.4,160.65,91
180.64,146.35,15.378,11.847,283.41,18.39,13.21,18.2,95.87,83
187.1,98.1,41.947,14.863,132.02,24.58,4.96,27.3,163.6,25
226.45,103.6,32.44,16.658,268.12,26.48,4.44,66.5,93.01,32
180.35,108.16,25.555,14.604,122.1,19.74,7.98,82.4,129.39,47
191.26,83.59,21.978,17.434,263.46,24.62,2.0,38.4,72.65,43
218.41,114.76,33.507,11.392,265.81,26.25,6.38,66.3,148.74,43
228.43,88.63,30.27,10.207,362.33,20.88,5.98,41.6,50.84,36
225.64,108.07,44.748,8.647,317.52,22.05,3.24,83.9,143.87,40
195.7,104.55,44.496,14.88,174.87,23.7,13.05,118.6,38.68,23
229.85,134.1,34.051,16.263,366.53,23.19,6.4,83.0,144.43,34
196.61,136.22,28.286,11.914,271.97,18.39,14.75,8.0,58.73,43
202.78,90.74,29.734,15.363,281.91,18.99,13.6,57.8,55.73,33
232.25,105.66,35.474,8.626,150.69,19.0,3.73,92.7,162.3,61
225.47,106.13,18.047,9.192,357.33,20.62,8.07,65.5,162.74,72
239.45,90.6,24.851,16.421,379.29,20.46,9.43,114.2,138.28,35
226.03,135.89,17.258,12.417,332.5,25.42,12.47,7.5,184.78,73
219.78,129.51,17.201,16.056,382.23,23.73,13.4,35.6,31.24,63
186.56,93.33,20.875,17.981,190.69,25.64,9.74,27.3,53.86,42
205.74,105.67,29.558,18.231,358.34,18.7,1.49,92.3,58.8,32
198.56,87.41,38.543,10.066,246.67,22.85,7.74,63.3,61.06,33
197.08,123.97,29.565,13.835,149.18,21.24,13.39,17.5,65.61,51
248.11,88.5,25.064,16.807,300.64,26.5,11.0,35.0,139.4,38
207.52,149.02,17.471,17.288,305.24,25.08,13.18,63.2,54.15,56
242.44,134.65,31.509,17.416,186.08,26.69,10.44,119.5,57.18,52
224.18,107.32,23.138,10.738,108.25,18.46,1.62,44.4,114.08,92
235.64,120.5,33.448,10.31,159.95,25.21,14.55,19.7,38.67,62
215.18,143.79,44.316,15.08,219.93,23.4,13.85,60.2,72.98,28
220.38,118.79,18.339,16.893,150.27,26.25,2.77,37.9,11.59,78
214.48,92.21,21.364,11.83,158.21,23.07,2.58,68.4,190.51,68
193.67,106.51,29.193,9.256,217.42,23.4,8.55,56.5,63.46,52
230.57,139.02,44.058,16.601,388.54,18.52,11.6,83.0,170.01,24
199.65,125.09,38.154,11.596,329.27,24.69,6.35,109.8,105.99,40
181.7,125.55,41.947,9.996,195.92,20.73,2.91,24.9,45.64,36
225.18,140.68,25.011,9.773,385.48,18.2,8.15,98.7,38.69,68
192.4,142.58,44.761,11.779,293.69,18.66,5.73,114.0,138.99,30
245.83,144.39,18.085,15.112,236.63,27.57,5.92,45.5,192.97,110
246.78,86.64,16.589,12.301,240.49,21.46,10.03,14.5,36.61,94
244.04,118.09,40.668,8.248,223.22,26.68,13.4,98.8,23.08,55
205.91,131.84,42.818,9.163,169.9,27.6,8.82,84.4,77.42,37
181.08,132.98,17.718,11.486,215.99,27.43,10.63,26.3,78.76,78
244.98,122.47,18.403,15.916,258.37,26.82,10.24,54.0,161.25,66
209.97,91.68,15.995,9.182,258.41,26.95,8.72,69.8,93.78,91
247.67,135.82,18.135,14.728,328.52,20.89,5.35,21.2,12.49,80
247.45,130.41,21.283,9.439,207.64,19.51,6.29,86.1,184.13,109
239.71,86.03,44.102,10.539,315.04,24.39,5.42,83.1,74.64,33
200.61,112.47,35.036,10.066,273.43,22.88,13.84,106.6,133.71,34
206.96,92.18,38.357,8.807,388.55,18.99,12.57,68.5,133.5,32
239.58,103.62,38.284,16.056,215.59,24.78,9.11,69.3,11.27,38
202.18,81.27,31.052,13.561,370.36,23.63,13.77,74.7,0.72,28
191.86,108.02,38.925,17.973,346.19,26.63,13.41,33.6,17.61,20
218.98,118.49,32.874,9.187,291.3,24.09,13.99,91.3,191.31,42
245.53,123.37,24.436,9.737,296.35,23.74,4.1,79.8,158.8,80
228.72,126.44,31.833,11.677,125.39,22.41,11.05,100.9,26.4,71
219.9,138.54,31.005,17.19,385.07,22.63,9.53,92.5,122.97,26
186.8,95.08,39.704,11.669,132.08,27.54,11.27,77.0,122.39,36
223.05,88.43,44.452,12.901,268.97,19.38,4.69,20.1,0.11,28
249.3,139.61,27.331,11.619,199.02,22.46,10.73,110.4,85.81,83
189.81,90.96,37.902,8.963,228.96,24.56,6.74,44.7,142.36,38
216.28,148.23,17.993,19.273,283.05,22.33,12.68,115.8,37.36,56
241.42,138.98,38.305,14.582,372.66,20.83,12.14,48.8,170.18,33
231.85,115.06,26.143,17.454,237.27,20.87,3.96,18.4,132.06,43
228.79,148.7,16.182,15.9,396.32,20.34,3.57,106.3,1.38,80
229.17,86.82,25.897,14.171,277.84,21.44,11.05,95.6,170.98,45
205.16,101.21,33.319,9.076,148.17,26.72,8.71,94.6,3.88,46
200.55,124.68,18.578,15.713,157.0,23.05,8.8,11.6,177.59,61
236.66,104.5,42.721,9.864,314.83,20.4,11.54,105.6,66.74,37
236.71,144.99,17.33,12.973,115.12,21.85,12.97,72.0,139.73,122
240.7,84.59,42.9,15.549,244.1,19.06,4.35,57.0,157.49,30
243.93,118.46,36.214,17.387,144.47,27.04,8.78,109.7,56.25,34
215.79,121.36,24.891,16.221,229.97,22.08,12.61,80.3,71.29,45
215.11,125.69,26.723,16.058,324.98,27.8,13.22,16.8,101.91,37
235.88,97.9,37.224,9.789,237.64,21.48,5.02,62.8,116.54,52
225.5,105.52,33.044,12.154,149.04,26.36,2.46,76.8,58.41,59
229.14,139.06,35.149,8.515,175.58,20.56,4.26,107.9,198.48,75
235.71,93.65,26.675,16.634,210.26,18.76,14.24,34.3,147.4,42
242.3,137.88,29.634,19.431,120.87,18.32,7.47,95.5,54.83,46
203.66,119.39,44.696,11.169,275.3,24.06,6.86,96.2,128.09,34
206.29,133.35,21.418,9.052,282.26,21.12,1.18,16.2,87.07,79
186.58,129.95,27.536,13.707,118.65,22.44,1.71,3.1,172.07,49
220.48,94.53,23.755,18.28,220.69,26.19,10.36,70.2,65.79,36
182.52,119.82,37.953,14.624,224.2,20.48,9.26,94.9,37.57,35
212.59,140.74,37.92,8.561,200.15,21.09,9.06,67.0,9.23,55
217.99,110.25,23.773,19.691,267.32,26.45,2.54,97.8,196.86,32
200.06,147.66,17.442,17.944,203.79,22.93,5.93,75.1,71.84,77
221.36,111.66,15.343,9.579,224.92,26.28,12.37,78.7,44.1,121
182.14,89.99,27.824,19.062,339.26,21.74,3.45,4.4,98.35,22
182.61,107.26,27.31,13.408,148.63,21.98,13.36,11.5,58.33,44
237.58,146.62,44.652,12.463,285.73,19.67,2.7,87.3,46.58,53
205.21,102.38,29.094,13.533,251.68,27.16,3.37,91.8,123.28,43
188.89,140.77,22.693,18.015,191.52,26.97,7.69,65.5,14.97,44
216.56,141.69,41.737,15.914,318.26,27.84,14.23,71.2,101.8,28
233.9,104.51,29.732,8.711,265.36,22.02,5.61,74.1,77.49,50
195.11,85.83,32.975,19.491,243.21,26.19,10.22,13.5,106.51,25
223.6,130.72,17.87,9.773,300.3,22.15,9.24,80.5,64.09,97
185.97,101.81,26.487,16.947,340.69,22.54,3.09,57.9,114.06,34
183.62,134.8,43.327,15.634,391.8,26.3,4.47,72.7,16.36,27
217.19,110.99,32.685,10.25,288.81,19.77,14.02,68.0,75.23,33
217.84,113.97,25.335,10.049,362.33,20.2,3.59,91.8,47.5,63
224.62,134.45,33.77,18.444,100.33,21.15,10.73,38.9,87.62,44
230.83,106.77,42.312,13.036,259.07,25.88,14.51,45.4,79.67,23
248.31,111.02,23.22,15.855,164.39,21.73,2.67,47.6,126.24,79
216.14,106.33,30.154,14.049,128.26,21.58,6.59,91.7,125.75,42
202.61,105.71,43.761,16.728,259.59,27.99,4.14,52.3,82.67,20
235.66,116.82,20.172,13.751,324.05,21.84,4.1,22.1,36.32,61
198.96,136.62,36.59,11.449,223.68,20.48,2.67,118.0,116.38,49
210.73,105.32,33.434,12.361,301.03,24.23,10.09,59.7,193.3,38
185.49,116.7,35.39,18.309,246.92,26.02,11.45,14.0,37.09,28
181.77,126.95,25.537,13.616,231.13,18.7,10.48,80.8,13.81,49
247.39,98.86,24.416,10.561,187.08,24.19,13.95,89.0,52.91,87
238.52,99.43,35.526,19.215,214.78,18.36,3.04,60.5,82.58,37
228.72,145.34,21.466,17.559,204.94,23.26,5.48,77.9,61.24,78
208.63,130.65,27.59,8.668,293.86,20.57,5.82,21.5,166.94,61
192.13,120.4,20.645,19.987,134.81,21.07,4.25,44.8,98.61,46
190.95,125.34,15.249,16.339,127.79,22.67,2.99,20.3,49.23,78
197.52,82.05,44.102,9.923,298.0,27.27,7.81,47.1,190.04,30
218.45,123.27,27.951,10.846,263.89,25.11,12.68,68.0,25.01,54
230.02,115.67,44.08,16.309,229.06,27.37,14.36,53.7,24.58,33
226.21,118.2,19.21,17.357,145.73,24.6,2.81,71.6,49.06,76
199.6,105.16,32.621,10.868,223.31,18.07,12.52,60.7,15.35,43
246.84,85.7,21.029,11.084,336.92,20.66,12.54,38.8,150.33,58
231.65,93.53,38.702,11.685,366.89,27.06,6.45,18.1,62.56,30
218.8,146.55,38.511,15.176,310.77,24.43,2.54,31.1,145.97,29
222.82,108.61,18.378,10.062,117.97,27.82,14.86,24.9,152.55,99
209.37,112.67,42.362,9.251,301.12,19.56,10.18,85.2,47.5,34
197.34,83.69,20.839,16.146,172.3,20.97,14.75,98.6,103.67,46
204.92,82.63,33.389,17.349,194.58,21.62,7.77,86.7,103.92,29
233.05,130.2,44.569,14.011,158.76,21.27,6.53,77.6,174.27,45
181.01,117.67,41.472,12.366,332.73,20.52,4.46,37.6,5.13,24
188.13,115.61,43.697,13.185,294.58,22.43,14.77,85.6,63.36,25
183.22,97.02,25.278,12.661,283.55,24.42,4.55,73.0,176.5,51
182.85,132.13,18.167,19.52,300.39,21.11,1.33,6.6,47.36,38
239.88,91.78,20.65,17.217,171.03,18.8,8.17,109.0,27.38,68
229.26,93.3,30.015,10.497,233.39,25.09,6.28,10.5,115.23,51
213.19,112.25,38.797,12.61,289.98,22.59,4.66,60.8,61.18,33
186.85,100.04,19.505,14.528,290.98,23.56,9.88,62.1,93.46,57
214.41,97.32,34.792,15.356,337.56,22.55,6.1,100.6,164.0,32
213.14,125.17,24.707,13.618,186.13,26.9,6.63,109.7,104.14,65
192.12,125.57,25.236,17.722,331.1,23.59,1.32,112.8,103.18,32
210.37,137.72,34.858,17.211,232.06,27.23,9.25,68.8,55.64,33
207.9,109.24,29.01,14.062,301.05,23.11,2.71,81.8,158.57,40
223.11,85.12,39.361,18.253,236.72,20.93,3.99,11.5,147.96,21
224.46,99.16,19.678,17.013,384.58,21.55,11.04,59.1,46.82,40
183.17,148.6,38.698,17.343,153.79,23.22,5.39,107.8,64.0,34
206.22,121.74,16.927,19.477,302.5,23.3,3.28,55.2,157.73,45
223.81,129.68,20.822,11.198,272.96,24.87,9.08,9.3,71.54,81
215.22,80.52,34.684,11.212,151.82,20.24,4.01,24.9,80.71,40
239.95,116.27,40.648,18.667,119.8,24.59,4.79,52.1,72.88,32
226.11,82.63,22.58,17.267,339.74,25.79,9.7,29.3,32.33,38
191.41,119.85,24.816,19.119,147.24,24.77,11.36,47.7,68.18,28
184.94,144.45,31.114,8.758,155.95,22.82,11.36,40.6,160.59,60
224.97,147.79,21.347,15.533,393.53,27.92,7.75,39.0,98.22,40
181.86,117.84,39.335,9.736,315.18,22.05,7.36,11.8,91.64,31
221.0,112.07,38.209,14.047,175.15,19.07,12.03,106.0,31.27,40
245.82,146.15,19.359,9.869,277.28,26.22,3.7,83.4,35.51,127
220.28,127.15,28.915,9.537,260.23,20.12,3.13,75.2,8.59,66
207.17,84.54,38.245,8.146,353.34,25.13,10.31,73.2,2.79,37
225.03,112.6,25.12,15.563,318.8,19.79,6.73,48.2,97.6,38
212.08,96.82,33.993,12.308,349.52,18.17,10.94,99.0,81.85,33
